GISJOIN,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape_Leng,Shape_Area,ZIP,YEAR,POP,POPDENS,P0_44,PER0_44,P45_64,PER45_64,P65_,PER65,PERW,WNH,PERHIS,HISPNH,PERBLK,BLKNH,PERASN,PERAUTO,PERTRAN,PERPEDB,PERTELE,PERBACH,MEDINC,PERNCITZ,PERASSIS,PEROFFTC,PERHSRV,PERPSRV,PERFOOD,PERCLEAN,PERTROCC,PERHU1,PERHU2_9,PERHU10p,PERMOBH,PERNOINS,PERNOBB,NYDUM,CASE4_11,CASE4_16,TEST4_16,CASE_5_1,TEST_5_1
G60643,60643,60643,B5,G6350,S,19029085,32576,41.7002727,-87.6632674,26732.98206,19061649.99,60643,2014-2018,49870,0.002620725,26061,0.522578705,14656,0.293884099,9153,0.183537197,0.20328855,0,0.033065972,0,0.733366754,1,0.003629437,0.712053135,0.210978707,0.01943739,0.050546982,0.372341969,64477,0.008060958,0.164213226,0.458123156,0.034929095,0.075378319,0.043827924,0.039545065,0.033929761,0.795366406,0.13669101,0.065474692,0.002467892,0.057115746,0.268428683,0,228,325,1022,482,2021
G60644,60644,60644,B5,G6350,S,9074673,24575,41.8800843,-87.7563733,12931.32129,9099238.195,60644,2014-2018,47712,0.00525771,30008,0.628940309,11503,0.241092388,6201,0.129967304,0.02917505,0,0.064302482,0,0.895183602,1,0.001886318,0.554639047,0.3740387,0.035413049,0.020218308,0.112752125,27262,0.016515761,0.421690434,0.363960372,0.110003625,0.055334058,0.067355322,0.059925094,0.074906367,0.181167686,0.646116354,0.168671575,0.002903661,0.137840604,0.467042047,0,240,349,1000,599,1832
G60645,60645,60645,B5,G6350,S,5847015,0,42.0085584,-87.6947354,11203.14077,5847012.162,60645,2014-2018,47732,0.008163482,30039,0.629326238,11129,0.233155954,6564,0.137517808,0.45003352,0,0.170263136,0,0.170451689,0,0.162700075,0.651499634,0.217361619,0.0717386,0.044525725,0.435546256,53340,0.195969161,0.204983082,0.444194182,0.041644702,0.01461638,0.087506589,0.041740547,0.077538697,0.286246386,0.40143429,0.308316656,0.003002001,0.123490786,0.213964934,0,305,433,1239,638,1946
G60646,60646,60646,B5,G6350,S,11840699,0,41.9930193,-87.7596273,24679.04744,11840707.5,60646,2014-2018,27987,0.002363627,14578,0.520884696,7677,0.274305928,5732,0.204809376,0.725872727,1,0.141887305,0,0.010576339,0,0.103262229,0.809602154,0.117932994,0.020939276,0.043822914,0.512391422,89480,0.050487726,0.076027146,0.516868702,0.018694319,0.067401782,0.01372864,0.015116109,0.034029502,0.698065747,0.214676034,0.08639084,0.000867378,0.060505774,0.185528247,0,55,80,565,199,1120
G60647,60647,60647,B5,G6350,S,10410316,89620,41.9212149,-87.7010284,19015.82854,10499943.5,60647,2014-2018,87509,0.008405989,65277,0.745946131,16008,0.182929756,6224,0.071124113,0.443485813,0,0.448251037,0,0.05437155,0,0.029574101,0.500037833,0.337791314,0.083932355,0.060230024,0.522355109,73443,0.107326104,0.12216973,0.524536512,0.018985812,0.014783272,0.071777898,0.025531361,0.023337114,0.169249075,0.63685041,0.18960656,0.002405649,0.106099853,0.211989399,0,116,222,1091,522,2153
G60649,60649,60649,B5,G6350,S,7586746,2576180,41.7634204,-87.5658787,15292.4981,7734206.939,60649,2014-2018,46024,0.006066369,27314,0.593472971,12140,0.263775422,6570,0.142751608,0.028572049,0,0.025703981,0,0.925560577,1,0.003932731,0.485262039,0.432350803,0.025448851,0.044913026,0.247444674,30222,0.021054233,0.373045668,0.429897762,0.084664272,0.070240398,0.038850511,0.035092567,0.055484941,0.139707815,0.49772787,0.361850753,0.000713561,0.0958105,0.369291451,0,184,270,1085,466,1833
G60651,60651,60651,B5,G6350,S,9052862,0,41.9020934,-87.7408565,16998.89637,9052873.672,60651,2014-2018,63218,0.006983206,41626,0.658451707,14372,0.227340314,7220,0.114207979,0.041491347,0,0.42487899,0,0.512037711,1,0.004840394,0.690016894,0.22390288,0.033041292,0.037559423,0.140597854,38083,0.104558828,0.36289625,0.359073359,0.073899614,0.026370656,0.093745174,0.054826255,0.067335907,0.277165771,0.671234688,0.047237155,0.00312858,0.159765186,0.401821605,0,226,357,1057,693,2048
G60652,60652,60652,B5,G6350,S,12987856,0,41.7479319,-87.7147951,19513.02882,12987854.11,60652,2014-2018,43907,0.00338062,27514,0.626642677,11653,0.265401872,4740,0.107955451,0.101851641,0,0.398091421,0,0.468945726,0,0.008495229,0.827730875,0.142124618,0.002123582,0.019837365,0.206085754,68425,0.094768488,0.173298429,0.4185884,0.043126685,0.071428571,0.052460817,0.039832285,0.06733553,0.848159401,0.092842507,0.058998092,0,0.084444851,0.228870606,0,140,219,632,384,1248
G60653,60653,60653,B5,G6350,S,6041422,1696670,41.8199645,-87.6059654,12444.64981,6041419.148,60653,2014-2018,31972,0.005292132,20511,0.641530089,7339,0.229544602,4122,0.12892531,0.042975103,0,0.021550106,0,0.90316527,1,0.013355436,0.573561667,0.293403071,0.044204488,0.0638603,0.331793425,29569,0.01651445,0.397461407,0.480543496,0.063675832,0.04341534,0.056359543,0.022833253,0.049606046,0.185018818,0.405487435,0.409493748,0,0.061802548,0.321646655,0,135,204,798,301,1221
G60654,60654,60654,B5,G6350,S,1464803,113470,41.8918225,-87.6383036,6379.999862,1578277.365,60654,2014-2018,19135,0.01306319,14016,0.732479749,3992,0.208622942,1127,0.058897309,0.738123857,1,0.052103475,0,0.053723543,0,0.124797492,0.24529764,0.146389574,0.44874956,0.097146883,0.853716879,112699,0.0570682,0.031073914,0.784054319,0.001189976,0.001819964,0.01399972,0.006299874,0.01098978,0.041988198,0.026403389,0.930624905,0.000983507,0.018918213,0.08128936,0,42,78,275,92,486
G60655,60655,60655,B5,G6350,S,11408006,0,41.6947762,-87.7037764,22196.75568,11408022.21,60655,2014-2018,28804,0.002524893,16965,0.588980697,8108,0.281488682,3731,0.129530621,0.826100542,1,0.082974587,0,0.066414387,0,0.014616026,0.85496614,0.081757901,0.022996614,0.028216704,0.439670273,97572,0.013192612,0.033330075,0.435636063,0.01411943,0.182243956,0.028789862,0.023417591,0.029203113,0.863972628,0.075180322,0.060292214,0.000554836,0.027183724,0.163620369,0,96,130,649,170,1088
G60656,60656,60656,B5,G6350,S,8465225,0,41.97428,-87.8271283,28416.70445,8465221.962,60656,2014-2018,27579,0.003257917,15387,0.557924508,7555,0.273940317,4637,0.168135175,0.763370681,1,0.122629537,0,0.011784329,0,0.072990319,0.814563107,0.13148405,0.010471567,0.033633842,0.382404387,61599,0.152761159,0.087524818,0.461407569,0.016675742,0.065205554,0.049278519,0.051456575,0.10196025,0.475945419,0.258791423,0.265263158,0,0.098516988,0.233371939,0,59,89,647,140,975
G60657,60657,60657,B5,G6350,S,5888324,2025836,41.9402931,-87.6468523,19097.12822,5998167.358,60657,2014-2018,70052,0.011896764,52841,0.754311083,11593,0.165491349,5618,0.080197568,0.805001999,1,0.069962314,0,0.02528122,0,0.068977331,0.324064235,0.515307043,0.072114517,0.068385493,0.822785048,92295,0.062867584,0.028778943,0.700861796,0.007036686,0.009784156,0.040658602,0.003893896,0.015200032,0.121239471,0.338447653,0.539385279,0.000927597,0.034747654,0.092070773,0,134,159,908,211,1486
G60659,60659,60659,B5,G6350,S,5251087,2818,41.9914885,-87.7039859,12947.04111,5253894.86,60659,2014-2018,41068,0.007820857,26407,0.643006721,10058,0.24491088,4603,0.1120824,0.398436739,0,0.191876887,0,0.10000487,0,0.265803058,0.679469784,0.181765995,0.081254566,0.038357165,0.359931774,51383,0.219343528,0.24422042,0.413938379,0.040048728,0.008629004,0.07207756,0.055479417,0.098725953,0.215760236,0.598175708,0.183800837,0.002263219,0.133150174,0.203365421,0,165,243,678,383,1095
G60660,60660,60660,B5,G6350,S,3340837,557846,41.9911098,-87.6630763,10054.4027,3340837.485,60660,2014-2018,43242,0.012943463,26605,0.615258314,10896,0.251977244,5741,0.132764442,0.51600296,1,0.178715138,0,0.141783451,0,0.12887933,0.4008521,0.428119294,0.080624873,0.067153581,0.516427817,49241,0.143448499,0.130054169,0.505296398,0.033417276,0.012271655,0.079226126,0.030499261,0.033137467,0.087997951,0.272703984,0.638871099,0.000426967,0.094700607,0.213242407,0,86,145,522,232,875
G60661,60661,60661,B5,G6350,S,769922,0,41.8830276,-87.6440993,5019.57395,769927.1017,60661,2014-2018,9926,0.012892215,8494,0.85573242,1215,0.122405803,217,0.021861777,0.512895426,1,0.064477131,0,0.03596615,0,0.357948821,0.21446213,0.221322722,0.499588364,0.040614709,0.902175249,107245,0.290348579,0.008120453,0.791214751,0.009761388,0.005558568,0.015726681,0.002304772,0,0.016320475,0.012908012,0.968694362,0.002077151,0.031331856,0.060395872,0,18,20,112,25,219
G60706,60706,60706,B5,G6350,S,7660353,0,41.9642573,-87.8162416,17012.62699,7660341.913,60706,2014-2018,23301,0.003041766,11653,0.500107292,6305,0.270589245,5343,0.229303463,0.803956912,1,0.107205699,0,0.006265826,0,0.077078237,0.857378481,0.085863976,0.014844281,0.030561754,0.284502522,62657,0.115102356,0.065847333,0.548759865,0.023017663,0.02621195,0.02639985,0.04735062,0.044156332,0.669984285,0.150864327,0.177265584,0.001885804,0.0705019,0.306347954,0,47,88,477,163,820
G60707,60707,60707,B5,G6350,S,9344358,0,41.9218528,-87.8072823,15366.27632,9344347.082,60707,2014-2018,43019,0.004603741,24675,0.573583765,11599,0.269625049,6745,0.156791185,0.480648086,0,0.383667682,0,0.078267742,0,0.039122248,0.825999809,0.114011645,0.015271547,0.029874964,0.265084837,57554,0.093447082,0.140790989,0.464508562,0.034013605,0.019704433,0.044428806,0.061271405,0.06202205,0.54424307,0.298270552,0.157486378,0,0.094235577,0.242352489,0,91,175,841,338,1513
G60712,60712,60712,B5,G6350,S,6888787,0,42.0054325,-87.7332392,12275.13529,6888785.264,60712,2014-2018,12539,0.001820204,5921,0.472206715,3541,0.282398915,3077,0.24539437,0.542866257,1,0.076880134,0,0.025679879,0,0.309434564,0.870462361,0.036301108,0.009361865,0.069545281,0.549875716,93250,0.070579791,0.053755869,0.635124905,0.020439061,0.008516276,0.033118849,0.022520818,0.040878123,0.81003742,0.049306626,0.138014528,0.002641426,0.073014346,0.203755869,0,51,75,288,100,428
